id_number,customer_class,original_customer_class,node,arrival_date,waiting_time,service_start_date,service_time,service_end_date,time_blocked,exit_date,destination,queue_size_at_arrival,queue_size_at_departure,server_id,record_type
47,Product_B,Product_B,3,11.579727502998981,0.0,11.579727502998981,0.05219213108438936,11.63191963408337,0.0,11.63191963408337,4,0,0,1,service
47,Product_B,Product_B,4,11.63191963408337,0.0,11.63191963408337,0.07150165459620261,11.703421288679573,0.0,11.703421288679573,-1,0,0,1,service
49,maint,maint,3,12.368621803063398,0.0,12.368621803063398,0.020399375591651392,12.38902117865505,0.0,12.38902117865505,-1,0,0,1,service
50,Product_A,Product_A,3,13.036373865947997,0.0,13.036373865947997,0.004715028069773197,13.04108889401777,0.0,13.04108889401777,4,0,0,1,service
50,Product_A,Product_A,4,13.04108889401777,0.0,13.04108889401777,0.03960200986015394,13.080690903877924,0.0,13.080690903877924,1,0,0,1,service
50,Product_A,Product_A,1,13.080690903877924,0.0,13.080690903877924,0.03437752990485876,13.115068433782783,0.0,13.115068433782783,2,0,0,1,service
50,Product_A,Product_A,2,13.115068433782783,0.0,13.115068433782783,0.022003606211894677,13.137072039994678,0.0,13.137072039994678,-1,0,0,1,service
51,maint,maint,3,13.200908048580914,0.0,13.200908048580914,0.02035633696577399,13.221264385546688,0.0,13.221264385546688,-1,0,0,1,service
52,Product_A,Product_A,3,13.311038312606737,0.0,13.311038312606737,0.021159595305231704,13.332197907911969,0.0,13.332197907911969,4,0,0,1,service
52,Product_A,Product_A,4,13.332197907911969,0.0,13.332197907911969,0.024046423137061623,13.35624433104903,0.0,13.35624433104903,1,0,0,1,service
52,Product_A,Product_A,1,13.35624433104903,0.0,13.35624433104903,0.026191897367855432,13.382436228416886,0.0,13.382436228416886,2,0,0,1,service
52,Product_A,Product_A,2,13.382436228416886,0.0,13.382436228416886,0.04027767477998623,13.422713903196872,0.0,13.422713903196872,-1,0,0,1,service
53,maint,maint,2,14.23156447032947,0.0,14.23156447032947,0.02343061205353969,14.25499508238301,0.0,14.25499508238301,-1,0,0,1,service
54,maint,maint,2,14.281797835210774,0.0,14.281797835210774,0.023282963917150568,14.305080799127925,0.0,14.305080799127925,-1,0,0,1,service
55,maint,maint,3,14.367146492327604,0.0,14.367146492327604,0.04451047330896074,14.411656965636565,0.0,14.411656965636565,-1,0,0,1,service
56,maint,maint,2,14.465011350682698,0.0,14.465011350682698,0.006508488938813173,14.47151983962151,0.0,14.47151983962151,-1,0,0,1,service
57,maint,maint,3,14.583572348901296,0.0,14.583572348901296,0.019091560676997688,14.602663909578293,0.0,14.602663909578293,-1,0,0,1,service
58,Product_B,Product_B,1,14.707535554392106,0.0,14.707535554392106,0.01132932142008336,14.718864875812189,0.0,14.718864875812189,2,0,0,1,service
58,Product_B,Product_B,2,14.718864875812189,0.0,14.718864875812189,0.029000435320547524,14.747865311132736,0.0,14.747865311132736,3,0,0,1,service
58,Product_B,Product_B,3,14.747865311132736,0.0,14.747865311132736,0.00534946417618265,14.75321477530892,0.0,14.75321477530892,4,0,0,1,service
58,Product_B,Product_B,4,14.75321477530892,0.0,14.75321477530892,0.017438976665307138,14.770653751974226,0.0,14.770653751974226,-1,0,0,1,service
59,Product_A,Product_A,3,14.876203786052782,0.0,14.876203786052782,0.08316903457575364,14.959372820628536,0.0,14.959372820628536,4,0,0,1,service
59,Product_A,Product_A,4,14.959372820628536,0.0,14.959372820628536,0.02568965921989097,14.985062479848427,0.0,14.985062479848427,1,0,0,1,service
59,Product_A,Product_A,1,14.985062479848427,0.0,14.985062479848427,0.024076135633114504,15.009138615481541,0.0,15.009138615481541,2,0,0,1,service
59,Product_A,Product_A,2,15.009138615481541,0.0,15.009138615481541,0.015440764755753733,15.024579380237295,0.0,15.024579380237295,-1,0,0,1,service
60,maint,maint,1,16.3794785152163,0.0,16.3794785152163,0.3736738794080985,16.753152394624397,0.0,16.753152394624397,-1,0,3,1,service
64,maint,maint,4,16.86274832282525,0.0,16.86274832282525,0.06787115117374043,16.93061947399899,0.0,16.93061947399899,-1,0,0,1,service
65,maint,maint,2,16.927099402853603,0.0,16.927099402853603,0.15309019513013666,17.08018959798374,0.0,17.08018959798374,-1,0,0,1,service
62,maint,maint,1,16.659573426435404,0.09357896818899292,16.753152394624397,0.38899247604858544,17.142144870672983,0.0,17.142144870672983,-1,2,2,1,service
63,maint,maint,1,16.718744686338585,0.4234001843343975,17.142144870672983,0.19497966003147482,17.337124530704457,0.0,17.337124530704457,-1,3,1,1,service
66,maint,maint,1,17.415223935892175,0.0,17.415223935892175,0.04852276268497846,17.463746698577154,0.0,17.463746698577154,-1,0,0,1,service
61,Product_B,Product_B,1,16.52731635974389,0.8098081709605687,17.337124530704457,0.003270055045046405,17.340394585749504,0.0,17.340394585749504,2,1,0,1,service
61,Product_B,Product_B,2,17.340394585749504,0.0,17.340394585749504,0.007160536568157738,17.34755512231766,0.0,17.34755512231766,3,0,0,1,service
61,Product_B,Product_B,3,17.34755512231766,0.0,17.34755512231766,0.07346360568748977,17.42101872800515,0.0,17.42101872800515,4,0,0,1,service
61,Product_B,Product_B,4,17.42101872800515,0.0,17.42101872800515,0.15139451672732918,17.57241324473248,0.0,17.57241324473248,-1,0,0,1,service
67,maint,maint,1,17.537291696181367,0.0,17.537291696181367,0.13281443936043402,17.6701061355418,0.0,17.6701061355418,-1,0,0,1,service
